match_id,date,venue,opponent,csk_score,csk_wkts,opp_score,result
202603,"Mar 30, 2026","Barsapara Cricket Stadium, Guwahati",RR,128,10,128,WIN
202607,"Apr 3, 2026","MA Chidambaram Stadium, Chennai",PBKS,209,5,209,WIN
202611,"Apr 5, 2026","M.Chinnaswamy Stadium, Bengaluru",RCB,207,10,250,LOSS
202618,"Apr 11, 2026","MA Chidambaram Stadium, Chennai",DC,212,1,189,WIN
202622,"Apr 14, 2026","MA Chidambaram Stadium, Chennai",KKR,191,5,160,WIN
202627,"Apr 18, 2026","Rajiv Gandhi International Stadium, Hyderabad",SRH,183,8,194,LOSS
202633,"Apr 23, 2026","Wankhede Stadium, Mumbai",MI,207,6,103,WIN
202637,"Apr 26, 2026","MA Chidambaram Stadium, Chennai",GT,157,7,162,LOSS
202644,"May 2, 2026","MA Chidambaram Stadium, Chennai",MI,160,2,159,WIN
202648,"May 5, 2026","Arun Jaitley Stadium, Delhi",DC,157,2,155,WIN
202653,"May 10, 2026","MA Chidambaram Stadium, Chennai",LSG,207,5,199,WIN
202659,"May 15, 2026","Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",LSG,186,5,188,LOSS
202663,"May 18, 2026","MA Chidambaram Stadium, Chennai",SRH,179,7,181,LOSS
202666,"May 21, 2026","Narendra Modi Stadium, Ahmedabad",GT,140,10,228,LOSS
